"동별(1)",동별(2),동별(3),2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06,2026. 06
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",강서구,화곡4동,9665,19359,9332,10027,18975,9178,9797,384,154,230
"합계",강서구,화곡본동,17269,32162,15513,16649,31632,15320,16312,530,193,337
"합계",강서구,화곡6동,13436,25627,12176,13451,25262,12034,13228,365,142,223
"합계",강서구,화곡8동,11504,22733,10916,11817,22275,10717,11558,458,199,259
"합계",강서구,가양1동,21043,33674,15044,18630,33337,14916,18421,337,128,209
"합계",강서구,가양2동,7897,12902,6062,6840,12833,6040,6793,69,22,47
"합계",강서구,가양3동,7529,13402,6189,7213,13315,6151,7164,87,38,49
"합계",강서구,발산1동,13614,34855,16397,18458,34552,16208,18344,303,189,114
"합계",강서구,우장산동,17461,43899,20804,23095,43623,20697,22926,276,107,169
"합계",강서구,공항동,13768,29146,14695,14451,28549,14379,14170,597,316,281
"합계",강서구,방화1동,16829,40735,19784,20951,40479,19656,20823,256,128,128
"합계",강서구,방화2동,12373,22816,11265,11551,22537,11129,11408,279,136,143
"합계",강서구,방화3동,11103,21372,10196,11176,21229,10143,11086,143,53,90
"합계",구로구,소계,185143,404659,198273,206386,382633,186738,195895,22026,11535,10491
"합계",구로구,신도림동,14441,36008,17292,18716,35683,17127,18556,325,165,160
"합계",구로구,구로1동,8425,20193,9846,10347,20001,9768,10233,192,78,114
"합계",구로구,구로2동,12075,27623,14117,13506,21641,10786,10855,5982,3331,2651
"합계",구로구,구로3동,13708,24442,12551,11891,22656,11695,10961,1786,856,930
"합계",구로구,구로4동,10064,21142,10382,10760,17563,8410,9153,3579,1972,1607
"합계",구로구,구로5동,15597,31008,15126,15882,28476,13867,14609,2532,1259,1273
"합계",구로구,가리봉동,6199,11986,6639,5347,8855,4894,3961,3131,1745,1386
"합계",구로구,고척1동,11708,26542,13151,13391,26227,13005,13222,315,146,169
"합계",구로구,고척2동,11321,25141,12327,12814,24759,12126,12633,382,201,181
"합계",구로구,개봉1동,15404,33987,16786,17201,33189,16371,16818,798,415,383
"합계",구로구,개봉2동,12716,29476,14093,15383,29050,13884,15166,426,209,217
"합계",구로구,개봉3동,8551,18972,9131,9841,18530,8912,9618,442,219,223
"합계",구로구,오류1동,13344,23931,11295,12636,22994,10896,12098,937,399,538
"합계",구로구,오류2동,15497,35964,16998,18966,35376,16720,18656,588,278,310
"합계",구로구,수궁동,9927,22080,10773,11307,21687,10597,11090,393,176,217
"합계",구로구,항동,6166,16164,7766,8398,15946,7680,8266,218,86,132
"합계",금천구,소계,122059,235351,118278,117073,222503,111649,110854,12848,6629,6219
"합계",금천구,가산동,18931,27765,14819,12946,25532,13644,11888,2233,1175,1058
"합계",금천구,독산1동,26782,49646,25048,24598,47669,24112,23557,1977,936,1041
"합계",금천구,독산2동,9354,18335,9200,9135,17067,8552,8515,1268,648,620
"합계",금천구,독산3동,12732,25523,12959,12564,22557,11323,11234,2966,1636,1330
"합계",금천구,독산4동,7415,15237,7679,7558,13779,6895,6884,1458,784,674
"합계",금천구,시흥1동,16308,32434,16059,16375,30956,15321,15635,1478,738,740
"합계",금천구,시흥2동,8138,19823,9489,10334,19705,9445,10260,118,44,74
"합계",금천구,시흥3동,4665,10071,4974,5097,9904,4887,5017,167,87,80
"합계",금천구,시흥4동,8807,18872,9329,9543,18232,9011,9221,640,318,322
"합계",금천구,시흥5동,8927,17645,8722,8923,17102,8459,8643,543,263,280
"합계",영등포구,소계,193619,393312,192290,201022,371867,181242,190625,21445,11048,10397
"합계",영등포구,영등포본동,10418,21867,11237,10630,20241,10376,9865,1626,861,765
"합계",영등포구,영등포동,22352,32150,16139,16011,31197,15754,15443,953,385,568
"합계",영등포구,여의동,14248,34375,16121,18254,33980,15914,18066,395,207,188
"합계",영등포구,당산1동,11981,21435,10233,11202,21026,10064,10962,409,169,240
"합계",영등포구,당산2동,19007,36789,17080,19709,36343,16916,19427,446,164,282
"합계",영등포구,도림동,9973,19358,9797,9561,17543,8891,8652,1815,906,909
"합계",영등포구,문래동,12971,31248,15171,16077,31047,15080,15967,201,91,110
"합계",영등포구,양평1동,10597,19733,9326,10407,19453,9224,10229,280,102,178
"합계",영등포구,양평2동,11324,22695,10843,11852,22415,10737,11678,280,106,174
"합계",영등포구,신길1동,11719,20167,10230,9937,18934,9576,9358,1233,654,579
"합계",영등포구,신길3동,7869,16910,8418,8492,16042,7946,8096,868,472,396
"합계",영등포구,신길4동,5710,12368,6071,6297,11778,5784,5994,590,287,303
"합계",영등포구,신길5동,4447,10386,5104,5282,9497,4592,4905,889,512,377
"합계",영등포구,신길6동,9204,18358,8869,9489,17698,8544,9154,660,325,335
"합계",영등포구,신길7동,7865,19531,9634,9897,19341,9545,9796,190,89,101
"합계",영등포구,대림1동,6793,15494,7754,7740,13186,6507,6679,2308,1247,1061
